Report Number,Supplemental Number,Accident Date/Time,Operator ID,Pipeline Location,Pipeline Type,Liquid Type,Accident State,Cause Category,Cause Subcategory,Net Loss (Barrels),Shutdown Date/Time,All Costs
20120132,17826,4/6/2012 8:53 AM,32080,ONSHORE,ABOVEGROUND,CRUDE OIL,MO,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,4/6/2012 8:53,486500
20120136,18074,4/6/2012 1:35 PM,26041,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.08,4/6/2012 13:45,350005
20120131,18520,4/7/2012 4:23 AM,11169,ONSHORE,ABOVEGROUND,CRUDE OIL,MN,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,4/7/2012 4:23,10100
20120143,17629,4/8/2012 11:00 AM,18718,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,5.0,,25060
20120141,19599,4/8/2012 10:04 PM,30829,ONSHORE,UNDERGROUND,CRUDE OIL,OK,CORROSION,INTERNAL,0.0,4/8/2012 22:04,1698327
20120144,17700,4/9/2012 2:45 PM,300,ONSHORE,ABOVEGROUND,CRUDE OIL,CA,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.0,,15000
20120139,19031,4/9/2012 7:15 PM,32109,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OK,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR,1.84,,323
20120122,18124,4/10/2012 7:00 AM,2552,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MS,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,,14476
20120145,18341,4/10/2012 5:17 PM,4906,ONSHORE,UNDERGROUND,CRUDE OIL,LA,CORROSION,INTERNAL,0.0,4/10/2012 17:17,81600
20120146,18313,4/10/2012 7:05 PM,4906,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LA,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.0,,312
20120150,16857,4/11/2012 11:30 AM,22610,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MN,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,,2050
20120152,17644,4/11/2012 1:25 PM,4805,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IL,CORROSION,INTERNAL,0.0,,53000
20120129,17341,4/12/2012 7:10 AM,32011,ONSHORE,TANK,CRUDE OIL,TX,INCORRECT OPERATION,OTHER INCORRECT OPERATION,76.0,,156600
20120148,17658,4/16/2012 8:00 AM,300,ONSHORE,UNDERGROUND,CRUDE OIL,OK,CORROSION,INTERNAL,0.0,4/16/2012 9:00,9750
20120154,17392,4/16/2012 8:45 AM,22610,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KS,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.0,,3600
20120156,18337,4/16/2012 10:00 AM,4906,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,INCORRECT OPERATION,INCORRECT INSTALLATION,0.0,,9140
20120151,16973,4/16/2012 6:00 PM,31618,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3.0,4/16/2012 18:00,39070
20120159,18075,4/16/2012 8:15 PM,26041,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NJ,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,4/16/2012 20:30,221100
20120153,16819,4/19/2012 12:28 PM,26134,ONSHORE,UNDERGROUND,CRUDE OIL,CA,CORROSION,INTERNAL,0.0,4/19/2012 13:00,6030
20120158,16845,4/19/2012 2:45 PM,30777,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,4/19/2012 15:05,22000
20120158,16845,4/19/2012 2:45 PM,30777,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,4/19/2012 15:05,22000
20120149,19194,4/19/2012 5:00 PM,1541,ONSHORE,ABOVEGROUND,CRUDE OIL,AK,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,4/21/2012 6:30,3080
20120157,18567,4/20/2012 2:00 PM,99031,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IN,CORROSION,INTERNAL,0.36,,27100
20120164,18239,4/23/2012 4:00 AM,12470,ONSHORE,ABOVEGROUND,CRUDE OIL,KY,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,9900
20120155,17520,4/23/2012 9:40 AM,30829,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,0.0,,14850
20120161,18865,4/23/2012 3:10 PM,1845,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NJ,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,,4660
20120160,17450,4/25/2012 6:30 AM,30829,ONSHORE,ABOVEGROUND,CRUDE OIL,OK,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.3,,10050
20120166,20025,4/28/2012 10:40 PM,4906,ONSHORE,UNDERGROUND,CRUDE OIL,LA,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,880.0,4/28/2012 22:40,7670662
20120167,17795,4/29/2012 6:00 PM,300,ONSHORE,ABOVEGROUND,CRUDE OIL,OK,CORROSION,EXTERNAL,0.0,,2800
20120163,17596,4/30/2012 7:00 AM,31618,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,3.0,,32595
20120165,19030,5/1/2012 6:15 PM,32109,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,3.0,,770
20120168,17868,5/3/2012 10:20 AM,300,ONSHORE,TANK,CRUDE OIL,AL,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0.0,,12000
20120171,18523,5/6/2012 7:09 PM,5081,ONSHORE,ABOVEGROUND,CRUDE OIL,KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,6840
20120170,18357,5/8/2012 7:04 AM,4805,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MO,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,5/8/2012 7:04,24525
20120169,18333,5/8/2012 8:40 AM,31174,ONSHORE,ABOVEGROUND,CRUDE OIL,LA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,9575
20120172,16858,5/10/2012 10:30 AM,18718,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,EXTERNAL,20.0,5/10/2012 10:30,259533
20120177,17552,5/12/2012 11:15 AM,32044,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NJ,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.0,,7803
20120180,17628,5/14/2012 5:48 AM,18718,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,4020
20120181,17840,5/14/2012 7:00 AM,31580,ONSHORE,TANK,CRUDE OIL,OK,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.0,,125000
20120185,21104,5/15/2012 3:21 AM,31878,ONSHORE,ABOVEGROUND,CRUDE OIL,ND,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,35.0,5/15/2012 3:21,75485
20120175,18893,5/15/2012 10:57 AM,22855,ONSHORE,ABOVEGROUND,CRUDE OIL,MO,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.58,,97031
20150249,20900,5/17/2012 4:00 AM,30829,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.0,,0
20120183,17132,5/17/2012 9:30 AM,15156,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MO,CORROSION,EXTERNAL,5.0,,41970
20120187,18353,5/17/2012 10:30 AM,4805,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OK,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.0,,26315
20120174,17970,5/18/2012 6:40 AM,32147,ONSHORE,ABOVEGROUND,CRUDE OIL,WY,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,5/18/2012 8:06,4213
20120188,17951,5/18/2012 4:12 PM,1845,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IL,CORROSION,EXTERNAL,0.0,,395779
20120184,17627,5/18/2012 8:00 PM,18718,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,2.0,,10454
20120173,18123,5/19/2012 4:00 AM,2552,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,,7055
20120190,18381,5/19/2012 5:44 AM,26041,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NJ,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,5/19/2012 5:45,434500
20120179,17661,5/19/2012 1:14 PM,300,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.0,5/19/2012 13:30,4350
20120189,19216,5/19/2012 2:14 PM,12105,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",MN,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,3.4,5/19/2012 14:30,68911
20120186,16993,5/22/2012 7:43 AM,2731,ONSHORE,ABOVEGROUND,CRUDE OIL,CA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0.0,,5000
20120191,18122,5/22/2012 1:00 PM,2552,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GA,INCORRECT OPERATION,INCORRECT INSTALLATION,0.79,,40283
20120192,17454,5/22/2012 1:30 PM,30829,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2.5,5/22/2012 13:30,32328
20120193,17881,5/23/2012 7:30 AM,31684,ONSHORE,UNDERGROUND,CRUDE OIL,OK,CORROSION,INTERNAL,2.0,5/23/2012 7:54,12680
20120195,18615,5/24/2012 11:15 AM,11169,ONSHORE,TANK,CRUDE OIL,WI,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,,30100
20120194,17882,5/27/2012 3:27 PM,31684,ONSHORE,ABOVEGROUND,CRUDE OIL,OK,CORROSION,INTERNAL,1.0,,7770
20120199,17455,5/30/2012 4:00 AM,30829,ONSHORE,TANK,CRUDE OIL,TX,CORROSION,INTERNAL,19.0,5/30/2012 6:15,85249
20120196,18498,6/1/2012 1:44 AM,32099,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,2880.0,6/1/2012 7:45,117395
20120198,17443,6/2/2012 8:10 AM,14194,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,ALL OTHER CAUSES,UNKNOWN,0.0,,0
20120178,18651,6/4/2012 7:40 AM,9175,ONSHORE,ABOVEGROUND,CRUDE OIL,KS,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,10.0,,10500
20120201,18303,6/5/2012 10:30 AM,1845,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OH,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.02,,1523241
20120203,18323,6/6/2012 12:31 AM,26125,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,11049
20120207,16826,6/6/2012 6:05 AM,32602,ONSHORE,UNDERGROUND,CRUDE OIL,CA,CORROSION,INTERNAL,0.2,6/6/2012 6:15,16548
20120204,17673,6/6/2012 2:45 PM,300,ONSHORE,UNDERGROUND,CRUDE OIL,TX,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.0,6/6/2012 14:45,7450
20120197,17491,6/8/2012 7:42 AM,31174,ONSHORE,TANK,CRUDE OIL,LA,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0.0,,55000
20120200,17619,6/8/2012 9:05 AM,22610,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KS,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,91.0,6/8/2012 9:27,952518
20150251,21038,6/9/2012 11:45 AM,31618,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.1,,100
20120205,19060,6/11/2012 8:00 AM,30829,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.0,,3525
20120211,17577,6/11/2012 7:47 PM,12470,ONSHORE,ABOVEGROUND,CRUDE OIL,MS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,6/11/2012 19:47,3500
20120212,16759,6/12/2012 12:20 PM,300,ONSHORE,UNDERGROUND,CRUDE OIL,TX,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0.0,6/12/2012 12:20,7475
20120209,17524,6/12/2012 2:00 PM,30829,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,1.0,6/12/2012 14:15,26553
20120206,17522,6/13/2012 7:00 AM,30829,ONSHORE,TANK,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.5,6/13/2012 7:10,5200
20120214,16762,6/13/2012 1:00 PM,300,ONSHORE,UNDERGROUND,CRUDE OIL,OK,CORROSION,EXTERNAL,0.0,6/13/2012 15:00,3250
20120202,17135,6/15/2012 3:50 PM,31476,ONSHORE,UNDERGROUND,CRUDE OIL,KS,CORROSION,INTERNAL,2.0,6/15/2012 16:00,43720
20120215,18864,6/17/2012 5:52 AM,1845,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PA,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,73.5,,87000
20120222,17429,6/19/2012 2:50 PM,4430,ONSHORE,TANK,CRUDE OIL,TX,CORROSION,INTERNAL,250.0,6/19/2012 14:50,130000
20120208,17523,6/20/2012 10:27 AM,30829,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.8,6/20/2012 11:05,5456
20120216,17626,6/20/2012 11:07 AM,18718,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,0.12,,2909
20120210,20535,6/21/2012 10:00 AM,10012,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KS,CORROSION,INTERNAL,0.0,6/21/2012 10:00,151661
20120213,17420,6/22/2012 1:15 PM,22610,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CO,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.0,,1055
20120219,17816,6/23/2012 8:30 AM,18386,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OH,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.0,,59000
20120221,18361,6/25/2012 7:30 AM,4805,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MO,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,6/25/2012 9:24,35020
20120218,17758,6/25/2012 4:04 PM,31476,ONSHORE,ABOVEGROUND,CRUDE OIL,KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2.0,6/25/2012 16:04,6900
20120220,19356,6/27/2012 1:30 PM,32011,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,465.0,6/27/2012 13:30,235000
20120227,18347,7/2/2012 2:15 PM,4805,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,CORROSION,INTERNAL,0.0,,17500
20120217,21513,7/2/2012 6:05 PM,31888,ONSHORE,UNDERGROUND,CRUDE OIL,OK,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,201.0,,303000
20120224,17738,7/3/2012 10:30 PM,31174,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,176000
20120223,19257,7/5/2012 4:30 PM,30755,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,ALL OTHER CAUSES,MISCELLANEOUS,0.24,,9600
20120229,18558,7/6/2012 11:12 AM,31888,ONSHORE,UNDERGROUND,CRUDE OIL,NM,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,4.0,,13000
20120225,17625,7/6/2012 2:15 PM,18718,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,0.12,,1137
20120226,17125,7/7/2012 8:15 AM,18718,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,EXTERNAL,2.0,7/7/2012 8:15,18162
20120228,17126,7/12/2012 11:55 AM,18718,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,EXTERNAL,0.0,7/12/2012 12:01,18000
20120232,18863,7/13/2012 11:30 AM,1845,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PA,CORROSION,EXTERNAL,8.68,,380538
20120233,17759,7/15/2012 11:00 AM,31476,ONSHORE,UNDERGROUND,CRUDE OIL,KS,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,6.0,7/15/2012 11:40,10100
20120234,17501,7/16/2012 9:33 AM,31174,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,15.67,7/16/2012 9:35,505850
20120238,19624,7/17/2012 10:40 AM,22430,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",WI,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,820.0,7/17/2012 10:40,23223508
20120235,18121,7/19/2012 3:00 PM,2552,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LA,INCORRECT OPERATION,INCORRECT INSTALLATION,0.0,,2750
20120237,18267,7/19/2012 4:50 PM,31174,ONSHORE,TANK,CRUDE OIL,LA,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.0,,15000
20120231,16817,7/20/2012 4:00 AM,31618,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,6.3,7/20/2012 8:00,3245
20120239,17837,7/21/2012 7:03 AM,300,ONSHORE,ABOVEGROUND,CRUDE OIL,WY,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,7/21/2012 7:05,4300
20120240,17441,7/21/2012 5:35 PM,2731,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TX,NATURAL FORCE DAMAGE,LIGHTNING,3117.0,7/21/2012 17:50,1162004
20120242,18382,7/23/2012 3:30 AM,26041,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,ALL OTHER CAUSES,MISCELLANEOUS,0.0,7/23/2012 3:30,1820500
20120236,17079,7/23/2012 10:00 AM,2552,ONSHORE,TRANSITION AREA,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NY,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,7/23/2012 10:02,62400
20120245,19354,7/23/2012 8:00 PM,30959,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,CORROSION,INTERNAL,132.0,,6213980
20120230,18542,7/24/2012 12:00 AM,31947,ONSHORE,UNDERGROUND,CRUDE OIL,OK,CORROSION,INTERNAL,0.0,,27600
20120244,17979,7/24/2012 12:52 PM,22855,ONSHORE,ABOVEGROUND,CRUDE OIL,MN,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.09,7/24/2012 12:53,35025
20120241,17393,7/25/2012 7:00 AM,22610,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KS,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,,2070
20120243,17114,7/26/2012 2:15 PM,30777,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,CORROSION,EXTERNAL,0.0,7/26/2012 14:30,36000
20120246,18120,7/27/2012 6:41 AM,2552,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.04,7/27/2012 6:41,5092
20120248,19113,7/27/2012 2:41 PM,11169,ONSHORE,UNDERGROUND,CRUDE OIL,WI,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,629.0,7/27/2012 14:45,5014408
20120247,18119,7/30/2012 7:25 AM,2552,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",VA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,14620
20120249,18535,8/1/2012 4:56 AM,32099,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,217.0,8/1/2012 4:56,8925
20120254,17612,8/2/2012 9:20 PM,31618,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",MO,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.0,8/2/2012 21:20,15460
20120250,16868,8/3/2012 12:00 PM,18718,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,0.36,,5040
20120252,17754,8/5/2012 4:15 AM,26085,ONSHORE,ABOVEGROUND,CRUDE OIL,OK,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,,20000
20120251,18098,8/6/2012 10:53 AM,26085,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",WI,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.24,8/6/2012 10:53,34500
20120253,18118,8/7/2012 1:30 PM,2552,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",AL,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,8/7/2012 14:10,20130
20120257,16885,8/8/2012 3:00 PM,31174,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.44,8/8/2012 15:00,550
20120259,18254,8/9/2012 1:28 PM,22855,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.0,8/9/2012 13:28,85678
20120266,18918,8/15/2012 1:04 PM,2731,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OR,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,8/15/2012 13:57,75544
20120262,17032,8/15/2012 1:33 PM,18718,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,EXTERNAL,3.0,8/15/2012 13:33,12453
20120264,16899,8/15/2012 6:15 PM,300,ONSHORE,UNDERGROUND,CRUDE OIL,NM,CORROSION,INTERNAL,0.0,8/15/2012 18:15,7400
20120256,18117,8/17/2012 6:30 PM,2552,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GA,CORROSION,INTERNAL,0.12,8/17/2012 18:30,27170
20120255,17883,8/18/2012 9:00 PM,31684,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.4,,1050
